alias_text,poster_category_id,poster_category_name,notes
донер,19,Донерщик,
донерщик,19,Донерщик,
кассир,16,Кассиры,
кассиры,16,Кассиры,
повар,17,Повара,
повара,17,Повара,
курьер,15,Курьер,
курьеры,15,Курьер,
кухрабочая,18,КухРабочая,
мойщица,18,КухРабочая,
официант,20,Официанты,
официанты,20,Официанты,
логистика,24,Логистика - Доставка продуктов,
доставка,24,Логистика - Доставка продуктов,
обед,26,Обед и развозка,
развозка,26,Обед и развозка,
отчисления,25,Отчисления,
налог,25,Отчисления,
коммунальные,9,Коммунальные платежи,
коммуналка,9,Коммунальные платежи,
платежи,9,Коммунальные платежи,
улучшения,27,Улучшения Апгрейд,
апгрейд,27,Улучшения Апгрейд,
ремонт,27,Улучшения Апгрейд,
единовременный,23,Единовременный расход,
разовый,23,Единовременный расход,
мыломойка,21,Мыломойка,
мойка,21,Мыломойка,
упаковки,22,Упаковки и расходники,
расходники,22,Упаковки и расходники,
аренда,8,Аренда,
маркетинг,7,Маркетинг,
реклама,7,Маркетинг,
поставки,3,Поставки,
хозяйственные,13,Хозяйственные расходы,
хозрасходы,13,Хозяйственные расходы,
банк,5,Банковские услуги и комиссии,
банковские,5,Банковские услуги и комиссии,
комиссия,5,Банковские услуги и комиссии,
зарплата,6,Зарплата,
актуализация,4,Актуализация,
приход,14,Приход поступления,
поступления,14,Приход поступления,
доход,14,Приход поступления,
