alias_text,poster_item_id,poster_item_name,source,notes
брынза,231,Брынза сыр,ingredient,
сыр брынза,231,Брынза сыр,ingredient,
ананас,93,Ананас (8 колец),ingredient,
ананасы,93,Ананас (8 колец),ingredient,
багет,244,Багет для донера,ingredient,
багеты,244,Багет для донера,ingredient,
ветчина,115,Ветчина (Смолл),ingredient,
ветчина смолл,115,Ветчина (Смолл),ingredient,
горчица,130,Горчица (140гр),ingredient,
виноград,229,Виноград,ingredient,
огурцы равва,118,Огурцы свежие Равва,ingredient,
огурцы Равва,118,Огурцы свежие Равва,ingredient,
равва огурцы,118,Огурцы свежие Равва,ingredient,
огурцы свежие равва,118,Огурцы свежие Равва,ingredient,
маринованные огурцы,7,Маринованные огурцы (2л-1кг),ingredient,
огурцы маринованные,7,Маринованные огурцы (2л-1кг),ingredient,
пицца-соус,80,Польпа (5кг) Мутти,ingredient,Auto-learned from user selection
филе цб,88,Филе курицы,ingredient,Из накладных (цб = цыпленок-бройлер)
филе цб групп,88,Филе курицы,ingredient,Из накладных
филе цыпленка,88,Филе курицы,ingredient,Из накладных
филе бройлера,88,Филе курицы,ingredient,Из накладных
крыло цб,89,Крыло курицы,ingredient,Из накладных
крыло цыпленка,89,Крыло курицы,ingredient,Из накладных
крыло бройлера,89,Крыло курицы,ingredient,Из накладных
крыло цыпленка-бройлера,89,Крыло курицы,ingredient,Из накладных
филе обвалка маринованное,82,Маринад Донер,ingredient,Из накладных Kebab house
баскет ecotray 800,98,Крылышки 6шт упаковка (Баскет 800мл),ingredient,Из накладных Yans
бургер бокс eco burger l,98,Крылышки 6шт упаковка (Баскет 800мл),ingredient,Из накладных Yans
баскет бумажный 2000 мл,182,Крылышки 24шт упаковка (Баскет 2000мл),ingredient,Из накладных Yans
перчатки пнд verdevita,107,Перчатки Бургер (ПНД одноразовые),ingredient,Из накладных Yans
перчатки пнд,107,Перчатки Бургер (ПНД одноразовые),ingredient,Из накладных Yans
перчатки смотровые нитро-винил,214,Перчатки виниловые,ingredient,Из накладных Yans
перчатки нитро-винил,214,Перчатки виниловые,ingredient,Из накладных Yans
перчатки виниловые черные,214,Перчатки виниловые,ingredient,Из накладных Yans
салфетка для диспенсера,106,Салфетки,ingredient,Из накладных Yans
салфетка для диспенсера 150,106,Салфетки,ingredient,Из накладных Yans
соусница 30 мл,101,Соус тары 30мл,ingredient,Из накладных Yans
соусница 30мл,101,Соус тары 30мл,ingredient,Из накладных Yans
тарелка плоская d-180,79,Тарелка бургера,ingredient,Из накладных Yans
тарелка бумажная крафт,79,Тарелка бургера,ingredient,Из накладных Yans
чековая лента r-keeper 80мм,202,Чековая лента 80мм,ingredient,Из накладных Yans
чековая лента 80мм*60м,202,Чековая лента 80мм,ingredient,Из накладных Yans
чековая лента 80мм*36м,202,Чековая лента 80мм,ingredient,Из накладных Yans
стакан 250 мл,83,Стакан 250мл (при покупке напитков бесплатно),product,Из накладных Yans
стакан 250мл,83,Стакан 250мл (при покупке напитков бесплатно),product,Из накладных Yans
стакан бумажный для горячего,83,Стакан 250мл (при покупке напитков бесплатно),product,Из накладных Yans
булочка для гамбургера с кунжутом 114 мм,1,Булочка кунжут 11.4 (30шт),ingredient,Из накладных Инарин
булочка для гамбургера с кунжутом 100 мм,234,Мини Булочка 10см,ingredient,Из накладных Инарин
булка для гамбургера оригинальная чёрная,165,Булочка черная (24шт),ingredient,Из накладных Инарин
булочка для датского хот-дога с кунжутом,167,Булочка Хот-Дог (36шт),ingredient,Из накладных Инарин
багет для французского хот-дога,166,Булочка ФренчДог (40шт),ingredient,Из накладных Инарин
сосиски гриль с говядиной,169,Сосиски Говяжие (Гриль),ingredient,Из накладных Инарин
сосиски чикен-спайси,170,Сосиски Куриные (ЧикенСпайси),ingredient,Из накладных Инарин
сосиски для хот-догов из говядины,169,Сосиски Говяжие (Гриль),ingredient,Из накладных Инарин
тортилья пшеничная со вкусом сыра,171,Тортилья сырная (12шт),ingredient,Из накладных Инарин
палочки сырные моцарелла,175,Сырные палочки 1кг,ingredient,Из накладных Инарин
булка для бургера бриошь,164,Булочка Бриош (24шт),ingredient,Из накладных Инарин
коробки под пиццу 32×32,96,Пицца коробка,ingredient,Из накладных Yaposha
коробки под пиццу 32x32,96,Пицца коробка,ingredient,Из накладных Yaposha
соус барбекью pro кб балк 1 кг короб 6 кг тз astoria,223,Соус барбекю (на бургер) 1кг,ingredient,Из накладных Yaposha
соус барбекю pro кб балк,223,Соус барбекю (на бургер) 1кг,ingredient,Из накладных Yaposha
майонез провансаль 67% астория ведро 9,6 кг,91,Майонез,ingredient,Из накладных Yaposha
майонез провансаль астория,91,Майонез,ingredient,Из накладных Yaposha
картофель фри triumph 2,5 кг,83,Фри,ingredient,Из накладных Yaposha
картофель фри triumph,83,Фри,ingredient,Из накладных Yaposha
наггетсы темпурные 2 кг г/я 12 кг,177,Наггетсы,ingredient,Из накладных Yaposha
наггетсы темпурные,177,Наггетсы,ingredient,Из накладных Yaposha
панировочные сухари белые 1 кг,99,Панировка,ingredient,Из накладных Yaposha
панировочные сухари белые,99,Панировка,ingredient,Из накладных Yaposha
сыр беловежский пармезан молодой 40%,113,Пармезан сыр,ingredient,Из накладных Yaposha
сыр беловежский пармезан,113,Пармезан сыр,ingredient,Из накладных Yaposha
соус майонезный сырный 42% pro балк 1 кг короб 6 кг тз astoria,222,Соус сырный (на бургер) 1кг,ingredient,Из накладных Yaposha
соус майонезный сырный pro балк,222,Соус сырный (на бургер) 1кг,ingredient,Из накладных Yaposha
картофель фри farm frites класс a, 2,5 кг,83,Фри,ingredient,Из накладных Yaposha
картофель фри farm frites,83,Фри,ingredient,Из накладных Yaposha
соус сырный 25 г,193,Сырный соус дип пот (порционный),ingredient,Из накладных Yaposha
