ingredient_id,ingredient_name,unit,account_name,type
93,Ананас (8 колец),,Pizzburg,1
244,Багет для донера,,Pizzburg,1
186,Белизна,,Pizzburg,1
231,Брынза сыр,,Pizzburg,1
164,Булочка Бриош (24шт),,Pizzburg,1
1,"Булочка кунжут 11,4 (30шт)",,Pizzburg,1
230,Булочка с кунжутом 10см (52гр) 48шт/кор,,Pizzburg,1
166,Булочка ФренчДог (40шт),,Pizzburg,1
167,Булочка Хот-Дог (36шт),,Pizzburg,1
165,Булочка черная (24шт),,Pizzburg,1
163,Булочка Чили (24шт),,Pizzburg,1
206,Бургер бокс,,Pizzburg,1
249,Бургерный соус,,Pizzburg,1
217,Ветошь,,Pizzburg,1
115,Ветчина (Смолл),,Pizzburg,1
227,Ветчина из куриного филе (Инарин),,Pizzburg,1
197,Вилки одноразовые,,Pizzburg,1
229,Виноград,,Pizzburg,1
130,Горчица (140гр),,Pizzburg,1
134,Губка,,Pizzburg,1
238,Донер мясо (Говядина),,Pizzburg,1
111,Дорблю сыр,,Pizzburg,1
201,Дрожжи,,Pizzburg,1
248,Дурум Мука,,Pizzburg,1
174,Жареный лук,,Pizzburg,1
189,Железки для мытья,,Pizzburg,1
120,Зелень (Укроп/Петрушка),,Pizzburg,1
240,Игрушка для КидсБокс,,Pizzburg,1
127,Имбирь молотый,,Pizzburg,1
184,Камамбер (125гр),,Pizzburg,1
178,Картофельные дольки,,Pizzburg,1
245,Кетчуп 25гр (Поставка),,Pizzburg,1
4,Кетчуп весовой (5кг ведро),,Pizzburg,1
215,Комет,,Pizzburg,1
5,Красный лук,,Pizzburg,1
110,"Кремета Хохланд (2,5кг)",,Pizzburg,1
89,Крыло курицы,,Pizzburg,1
181,Крылышки 12шт упаковка (Баскет 1000мл),,Pizzburg,1
182,Крылышки 24шт упаковка (Баскет 2000мл),,Pizzburg,1
98,Крылышки 6шт упаковка (Баскет 800мл),,Pizzburg,1
225,Крышка кола стакан,,Pizzburg,1
213,Кунжут,,Pizzburg,1
81,Лаваш,,Pizzburg,1
250,Лаваш сырный,,Pizzburg,1
132,Лента 80мм,,Pizzburg,1
190,Лодочка Хот-дог тара,,Pizzburg,1
119,Лук простой,,Pizzburg,1
112,Маасдам сыр,,Pizzburg,1
194,Маечка Пакетик (При покупке),,Pizzburg,1
105,Маечки большие (Шиваки-24шт),,Pizzburg,1
104,Маечки маленькие (40шт),,Pizzburg,1
91,Майонез,,Pizzburg,1
82,Маринад Донер,,Pizzburg,1
7,Маринованные огурцы (2л-1кг),,Pizzburg,1
8,Масло подсолнечное,,Pizzburg,1
196,Мешок мусорный 120л,,Pizzburg,1
195,Мешок мусорный 240л,,Pizzburg,1
203,Мешочки ,,Pizzburg,1
234,Мини Булочка 10см,,Pizzburg,1
172,Моцарелла (Оригинал/Экстра),,Pizzburg,1
90,Мука Гранум,,Pizzburg,1
177,Наггетсы,,Pizzburg,1
118,Огурцы свежие Равва,,Pizzburg,1
131,Оливкое масло 5л,,Pizzburg,1
205,Орегано,,Pizzburg,1
124,Острая панировка (240гр),,Pizzburg,1
114,Охотничьи колбаски 250гр,,Pizzburg,1
191,Пакет 250*140,,Pizzburg,1
241,Панини,,Pizzburg,1
99,Панировка,,Pizzburg,1
128,Паприка дешевая (Нарык),,Pizzburg,1
129,Паприка дорогая (40-80гр),,Pizzburg,1
113,Пармезан сыр,,Pizzburg,1
173,Пепперони нарезка 1кг,,Pizzburg,1
192,Пергаментная бумага,,Pizzburg,1
121,Перец болгарский (Светофор),,Pizzburg,1
179,Перец красный молотый (50гр),,Pizzburg,1
122,Перец острый (Полугорький),,Pizzburg,1
125,Перец черный молотый (100гр),,Pizzburg,1
107,Перчатки Бургер (ПНД одноразовые),,Pizzburg,1
214,Перчатки виниловые,,Pizzburg,1
100,Перчатки Донер,,Pizzburg,1
209,Перчатки желтые,,Pizzburg,1
96,Пицца коробка,,Pizzburg,1
80,Польпа (5кг) Мутти,,Pizzburg,1
11,Помидоры,,Pizzburg,1
208,Порошок ,,Pizzburg,1
116,Салат листья (Айсберг),,Pizzburg,1
106,Салфетки,,Pizzburg,1
95,Сахар,,Pizzburg,1
187,Синие тряпки,,Pizzburg,1
199,Сироп,,Pizzburg,1
109,Сливки Брянск (1кг),,Pizzburg,1
15,Соль,,Pizzburg,1
169,Сосиски Говяжие (Гриль),,Pizzburg,1
170,Сосиски Куриные (ЧикенСпайси),,Pizzburg,1
223,Соус барбекю (на бургер) 1кг,,Pizzburg,1
233,Соус Песто,,Pizzburg,1
222,Соус сырный (на бургер) 1кг,,Pizzburg,1
101,Соус тары 30мл,,Pizzburg,1
210,Средство для мытья,,Pizzburg,1
226,Стакан 500мл кола,,Pizzburg,1
204,Сушеный базилик,,Pizzburg,1
78,Сыр Чеддер (90шт/упк) Хохланд,,Pizzburg,1
175,Сырные палочки 1кг,,Pizzburg,1
193,Сырный соус дип пот (порционный),,Pizzburg,1
79,Тарелка бургера,,Pizzburg,1
200,Терияки соус (230гр),,Pizzburg,1
188,То самое средство,,Pizzburg,1
171,Тортилья сырная (12шт),,Pizzburg,1
216,Трубочки,,Pizzburg,1
183,Уголок бургер,,Pizzburg,1
84,Упаковка Донер,,Pizzburg,1
236,Упаковка Кидс Бокс,,Pizzburg,1
87,Фарш,,Pizzburg,1
133,Фейри,,Pizzburg,1
88,Филе курицы,,Pizzburg,1
83,Фри,,Pizzburg,1
97,Фри упаковка,,Pizzburg,1
86,Фритюрное масло,,Pizzburg,1
92,"Халапеньо (5л-2,5кг)",,Pizzburg,1
243,ХмелиСунели,,Pizzburg,1
218,Хот-Дог с собой упаковка,,Pizzburg,1
232,Чеддер сыр (весовой),,Pizzburg,1
207,Чековая лента 57мм,,Pizzburg,1
202,Чековая лента 80мм,,Pizzburg,1
123,Чеснок,,Pizzburg,1
242,Чиабатта,,Pizzburg,1
117,Шампиньоны,,Pizzburg,1
103,Шпажки,,Pizzburg,1
212,Яйцо,,Pizzburg,1
72, М&м (ЭмЭндЭмс),,Pizzburg-cafe,1
200,7ап для Лимонада,,Pizzburg-cafe,1
144,Авокадо,,Pizzburg-cafe,1
213,Азот баллончик весовой,,Pizzburg-cafe,1
245,Айсберг (на Сендвич),,Pizzburg-cafe,1
48,Айсберг (Салат),,Pizzburg-cafe,1
246,Амбер ломтики,,Pizzburg-cafe,1
120,Апельсин ,,Pizzburg-cafe,1
155,Арахис жаренный,,Pizzburg-cafe,1
87,Асу 1л газ,,Pizzburg-cafe,1
106,Асу газ 1.5л,,Pizzburg-cafe,1
240,Багет для сэндвича,,Pizzburg-cafe,1
187,Бадьян,,Pizzburg-cafe,1
111,Банан свежий,,Pizzburg-cafe,1
302,Баскет 1000мл,,Pizzburg-cafe,1
126,Баскет 140х140,,Pizzburg-cafe,1
52,Васаби 1кг,,Pizzburg-cafe,1
41,Ветчина говяжья,,Pizzburg-cafe,1
247,Ветчина из филе,,Pizzburg-cafe,1
286,Ветчина нарезка,,Pizzburg-cafe,1
254,Ветчина смолл,,Pizzburg-cafe,1
39,Взбитые Сливки,,Pizzburg-cafe,1
300,Вилка,,Pizzburg-cafe,1
118,Вода,,Pizzburg-cafe,1
135,Газ для сливок,,Pizzburg-cafe,1
186,Гвоздика,,Pizzburg-cafe,1
258,Говядина,,Pizzburg-cafe,1
275,Голень вес,,Pizzburg-cafe,1
280,Горчица соус,,Pizzburg-cafe,1
303,Дольки,,Pizzburg-cafe,1
298,Жареный лук,,Pizzburg-cafe,1
205,Зеленый лук,,Pizzburg-cafe,1
138,Имбирь корень,,Pizzburg-cafe,1
53,Имбирь маринованный,,Pizzburg-cafe,1
255,Индейка,,Pizzburg-cafe,1
133,Ириски конфеты,,Pizzburg-cafe,1
179,Какао порошок,,Pizzburg-cafe,1
127,Калхолдер,,Pizzburg-cafe,1
285,Кетчуп хайнц,,Pizzburg-cafe,1
124,Клубника мороженная,,Pizzburg-cafe,1
269,Контейнер алюминиевый 1900мл,,Pizzburg-cafe,1
271,Контейнер алюминиевый 500мл,,Pizzburg-cafe,1
289,Контейнер алюминиевый 865мл,,Pizzburg-cafe,1
71,Контейнер для суши большой,,Pizzburg-cafe,1
114,Контейнер для суши маленький,,Pizzburg-cafe,1
185,Корица,,Pizzburg-cafe,1
225,Корица порошок,,Pizzburg-cafe,1
110,Кофе,,Pizzburg-cafe,1
26,Краб Санта Бримор 500гр,,Pizzburg-cafe,1
252,Красный Лук,,Pizzburg-cafe,1
82,Креветки 1.2кг в блоке,,Pizzburg-cafe,1
23,Кремета Хохланд 2.2кг ведро,,Pizzburg-cafe,1
291,Крыло вес,,Pizzburg-cafe,1
95,Крышка 80,,Pizzburg-cafe,1
64,Крышка 90,,Pizzburg-cafe,1
270,Крышка к контейнеру 1900мл,,Pizzburg-cafe,1
272,Крышка к контейнеру 500мл,,Pizzburg-cafe,1
288,Крышка к контейнеру 865мл,,Pizzburg-cafe,1
96,Крышка купольная,,Pizzburg-cafe,1
306,Кукуруза консервированная,,Pizzburg-cafe,1
112,Кунжут,,Pizzburg-cafe,1
40,Куриная грудка,,Pizzburg-cafe,1
73,Лайм,,Pizzburg-cafe,1
137,Лимон,,Pizzburg-cafe,1
84,Лимонный сок,,Pizzburg-cafe,1
263,"Луковые кольца 2,5кг",,Pizzburg-cafe,1
43,Маечка Пакет (При покупке),,Pizzburg-cafe,1
157,Малина мороженная,,Pizzburg-cafe,1
129,Масаго красное 500гр,,Pizzburg-cafe,1
123,Мед жидкий (300гр банка),,Pizzburg-cafe,1
116,Мицукан Рисовый уксус,,Pizzburg-cafe,1
49,"Молоко 3,1% 0.9л",,Pizzburg-cafe,1
131,Моти упаковка ,,Pizzburg-cafe,1
242,Моцарелла,,Pizzburg-cafe,1
94,Мука панировочная,,Pizzburg-cafe,1
93,Мята,,Pizzburg-cafe,1
301,"Наггетсы, кг",,Pizzburg-cafe,1
22,Нори 100шт упк,,Pizzburg-cafe,1
239,Обертка для сендвича,,Pizzburg-cafe,1
249,Огурцы Равва,,Pizzburg-cafe,1
25,Огурцы свежие Равва,,Pizzburg-cafe,1
251,Оливки,,Pizzburg-cafe,1
54,Орео,,Pizzburg-cafe,1
65,Пакет 250х120,,Pizzburg-cafe,1
55,Палочка перреро,,Pizzburg-cafe,1
66,Палочки для суши,,Pizzburg-cafe,1
125,Панировка сухари,,Pizzburg-cafe,1
139,Пармезан,,Pizzburg-cafe,1
243,Пепперони,,Pizzburg-cafe,1
207,Перец Болгарский,,Pizzburg-cafe,1
250,Перец Сладкий,,Pizzburg-cafe,1
222,Перчатки винил,,Pizzburg-cafe,1
45,Пломбир,,Pizzburg-cafe,1
204,Подсолнечное масло (растительное),,Pizzburg-cafe,1
244,Помидоры,,Pizzburg-cafe,1
237,Пончик тарелка,,Pizzburg-cafe,1
130,Посыпка кондитерская ,,Pizzburg-cafe,1
191,Пюре Груша,,Pizzburg-cafe,1
162,Пюре маракуя,,Pizzburg-cafe,1
307,Редис,,Pizzburg-cafe,1
20,Рис,,Pizzburg-cafe,1
46,Ромашка,,Pizzburg-cafe,1
143,Салат чука,,Pizzburg-cafe,1
51,Сахар песок,,Pizzburg-cafe,1
172,Сгущенка,,Pizzburg-cafe,1
24,Семга,,Pizzburg-cafe,1
196,Сироп Апельсин,,Pizzburg-cafe,1
149,Сироп Арбуз,,Pizzburg-cafe,1
195,Сироп БлюКурасао,,Pizzburg-cafe,1
132,Сироп Ваниль,,Pizzburg-cafe,1
174,Сироп Вишня,,Pizzburg-cafe,1
183,Сироп Гранат,,Pizzburg-cafe,1
192,Сироп Груша,,Pizzburg-cafe,1
147,Сироп Карамель,,Pizzburg-cafe,1
85,Сироп клубника,,Pizzburg-cafe,1
171,Сироп Кокос,,Pizzburg-cafe,1
184,Сироп Корица,,Pizzburg-cafe,1
159,Сироп лимон,,Pizzburg-cafe,1
153,Сироп малина,,Pizzburg-cafe,1
193,Сироп Маракуйя,,Pizzburg-cafe,1
194,Сироп Мохито,,Pizzburg-cafe,1
173,Сироп Огурец,,Pizzburg-cafe,1
148,Сироп Шоколад,,Pizzburg-cafe,1
175,Сироп Яблоко,,Pizzburg-cafe,1
197,Сироп Ягодный,,Pizzburg-cafe,1
42,Сливки 10%,,Pizzburg-cafe,1
92,Сливки 33%,,Pizzburg-cafe,1
117,Соевый соус,,Pizzburg-cafe,1
223,Соль морская,,Pizzburg-cafe,1
115,Соль простая,,Pizzburg-cafe,1
257,Сосиски говяжьи гриль,,Pizzburg-cafe,1
256,Сосиски куриные гриль,,Pizzburg-cafe,1
282,Соус Барбекю,,Pizzburg-cafe,1
287,Соус Кисло-сладкий,,Pizzburg-cafe,1
284,Соус кичинез (1000 островов) ,,Pizzburg-cafe,1
142,Соус ореховый,,Pizzburg-cafe,1
290,Соус порционный,,Pizzburg-cafe,1
299,Соус Сырный весовой,,Pizzburg-cafe,1
283,Соус Тар-Тар,,Pizzburg-cafe,1
67,Соус тары 30мл,,Pizzburg-cafe,1
68,Соус тары 50мл,,Pizzburg-cafe,1
206,Соус Терияки,,Pizzburg-cafe,1
121,Соус Унаги,,Pizzburg-cafe,1
208,Соус Цезарь,,Pizzburg-cafe,1
351,соус шрирача,,Pizzburg-cafe,1
97,Стакан 100 бум,,Pizzburg-cafe,1
98,Стакан 250 2хсл,,Pizzburg-cafe,1
69,Стакан 250мл бум.,,Pizzburg-cafe,1
99,Стакан 350 2хсл,,Pizzburg-cafe,1
128,Стакан 350мл бум.,,Pizzburg-cafe,1
100,Стакан 400 пэт,,Pizzburg-cafe,1
101,Стакан 450 2хсл,,Pizzburg-cafe,1
102,Стакан 500 пэт,,Pizzburg-cafe,1
109,Стаканчики пепси 0.3,,Pizzburg-cafe,1
267,Стрипсы весовой,,Pizzburg-cafe,1
305,Сухой чеснок,,Pizzburg-cafe,1
304,Сырные палочки,,Pizzburg-cafe,1
248,Терияки Махеев,,Pizzburg-cafe,1
241,Томатный соус,,Pizzburg-cafe,1
202,топинг шоколад,,Pizzburg-cafe,1
70,Трубочки бум. ,,Pizzburg-cafe,1
44,Угорь,,Pizzburg-cafe,1
238,Упаковка 340х350,,Pizzburg-cafe,1
297,Упаковка для фри L,,Pizzburg-cafe,1
294,Упаковка для фри S,,Pizzburg-cafe,1
296,Упаковка для фри М,,Pizzburg-cafe,1
281,Фарш,,Pizzburg-cafe,1
50,Филе,,Pizzburg-cafe,1
253,филе куриное,,Pizzburg-cafe,1
141,филе тунца,,Pizzburg-cafe,1
295,"Фри 2,5кг",,Pizzburg-cafe,1
83,Фритюрное масло 10л,,Pizzburg-cafe,1
156,чай зеленый на вес,,Pizzburg-cafe,1
108,Чай пакетированный зелёный ,,Pizzburg-cafe,1
107,Чай пакетированный черный,,Pizzburg-cafe,1
136,чай черный на вес,,Pizzburg-cafe,1
103,Чековая лента 80,,Pizzburg-cafe,1
176,Шоколад Казахстан,,Pizzburg-cafe,1
150,Шоколад пилточный,,Pizzburg-cafe,1
308,Шрирача,,Pizzburg-cafe,1
177,Яблоки зеленые,,Pizzburg-cafe,1
189,Ягода облепихи,,Pizzburg-cafe,1
203,Яйцо,,Pizzburg-cafe,1
