product_id,product_name,category_name
115,Айран турецкий,Напитки
13,"Бонаква 0,5л",Напитки
59,Бонаква 1л,Напитки
82,Доставка ,Top screen
14,"Кока-Кола 0,5л",Напитки
15,Кока-Кола 1л,Напитки
96,Комбо Донер,Комбо
99,Комбо Крылышки,Комбо
100,Комбо Маргарита,Комбо
98,Комбо Хот-Дог,Комбо
97,Комбо Чизбургер,Комбо
101,Луковые кольца (добавка),Добавки к блюдам
91,Монстер энергетик,Напитки
16,"Пико 0,5л",Напитки
17,Пико 1л,Напитки
18,"Пико Тетра 0,2л",Напитки
19,Пико Тетра 1л,Напитки
92,Разлив кола,Top screen
57,Соус (порционный),Добавки к блюдам
143,Соус Барбекю (Дип-пот),Добавки к блюдам
21,"Спрайт 0,5л",Напитки
20,Спрайт 1л,Напитки
83,Стакан 250мл (при покупке напитков бесплатно),Top screen
23,"Фанта 0,5л",Напитки
22,Фанта 1л,Напитки
177,Фанта ЖБ,Напитки
171,Фьюс жб,Напитки
56,"Фьюс чай 0,5л",Напитки
55,Фьюс чай 1л,Напитки
123,4 Сезона,Пиццы
124,4 Сыра,Пиццы
159,4 Сыра (половина),Половинки пицц
142,BBQ Бургер,Бургеры
122,Альфредо,Пиццы
153,Альфредо (половина),Половинки пицц
76,Балоньез ,Пиццы
160,Болоньезе (половина),Половинки пицц
73,Гавайский бургер,Бургеры
81,Грибной бургер,Бургеры
139,Грибы (добавка),Добавки к блюдам
80,Двойной бургер,Бургеры
132,Донер большой,Донер
134,Донер в батоне,Донер
71,Донер маленький,Донер
131,Донер стандартный,Донер
120,Донерная,Пиццы
155,Донерная (половина),Половинки пицц
104,Картофельные дольки,Фри - Закуски
174,КидсБокс Говяжий,КидсБокс
173,КидсБокс Куриный,КидсБокс
72,Классический бургер,Бургеры
161,Комбо Донер,Комбо
163,Комбо Крылышки,Комбо
164,Комбо Маргарита,Комбо
162,Комбо Хот-Дог,Комбо
150,Комбо Чизбургер,Комбо
109,Крылышки - 12шт,Крылышки
110,Крылышки - 24шт,Крылышки
108,Крылышки - 6шт,Крылышки
176,Курица Барбекю,Пиццы
74,Курица и грибы ,Пиццы
156,Курица и грибы (половина),Половинки пицц
114,Курица Ранч,Пиццы
125,Маргарита,Пиццы
152,Маргарита (половина),Половинки пицц
119,Мексиканская,Пиццы
154,Мексиканская (половина),Половинки пицц
166,Мини Бургер говяжий,Бургеры
167,Мини Бургер куриный,Бургеры
169,Мясная,Пиццы
103,Наггетсы,Фри - Закуски
168,Пармезано,Пиццы
118,Пепперони,Пиццы
157,Пепперони (половина),Половинки пицц
170,Песто,Пиццы
75,Пиццбург,Пиццы
158,ПиццБург (половина),Половинки пицц
138,Сыр (Добавка),Добавки к блюдам
105,Сырные палочки,Фри - Закуски
175,Сырный цыпленок,Пиццы
135,Твистер,Донер
126,Френчдог говяжий,Хот-Доги
127,Френчдог куриный,Хот-Доги
111,Фри,Фри - Закуски
137,Халапеньо,Добавки к блюдам
128,Хот-Дог говяжий,Хот-Доги
129,Хот-Дог куриный,Хот-Доги
47,ЧизБургер,Бургеры
46,Чикен бургер,Бургеры
141,ЧикенЧиз (СуперСырный),Бургеры
