supplier_id,name,aliases
1,Метро,метро|metro
2,Кока-кола,кока-кола|кока|кола
4,Инарин,инарин|тоо инарин|товарищество с ограниченной ответственностью инарин
5,Смолл,смолл|small
7,Кус Вкус,кус вкус|кусвкус|иртышинтерфуд|иртыш|фирма иртышинтерфуд|иртыш интер фуд|global food-kz|global food kz|глобал фуд
8,Фарш маркет,фарш маркет|фарш
10,Идея,идея|ideya
13,Янс,янс|yans|интернет-магазин yans|интернет магазин янс
14,Адам,адам|adam
17,Кюрдамир,кюрдамир|курдамир
19,Сары-Арка молочный,сары-арка|сарыарка|молочный
21,Алимжан помидоры,алимжан|алимжан помидоры
23,Донер мясо,донер мясо|донер|мясо|kebab house|кебаб хаус|кебаб
25,Япоша,япоша|yaposha|yaposha market|yaposha market экибастуз|терминал
26,Лаваш Экибастуз,лаваш|лаваш экибастуз|экибастуз
27,Лаваш Астана,лаваш астана
28,Айран Астана,айран астана|айран
29,Вичунай,вичунай
47,Багет Астана,багет|багет астана
50,Ава маркет,ава маркет|ава
52,Ресто бразерс,ресто бразерс|ресто|братья
59,Мука Гранум,мука|гранум|мука гранум
62,БрендБокс,брендбокс|бренд бокс
71,Озон,озон|ozon
